Date, MSFT Price,APPL Price,MSFT Log Price,AAPL Log Price,MSFT Log Return,AAPL Log Return
22-Aug-12,30.54,95.55,3.4190373,4.559649671,-0.00847739,0.019338057
23-Aug-12,30.26,94.66,3.409826708,4.550291524,-0.009210591,-0.009358146
24-Aug-12,30.56,94.75,3.419691964,4.551241844,0.009865256,0.000950319
27-Aug-12,30.69,96.53,3.423936869,4.569853841,0.004244904,0.018611997
28-Aug-12,30.63,96.4,3.421979921,4.568506202,-0.001956948,-0.001347639
29-Aug-12,30.65,96.21,3.422632662,4.566533302,0.000652742,-0.001972899
30-Aug-12,30.32,94.84,3.411807561,4.552191261,-0.010825102,-0.014342041
31-Aug-12,30.82,95.03,3.42816383,4.554192631,0.016356269,0.00200137
4-Sep-12,30.38,96.42,3.413784497,4.568713649,-0.014379333,0.014521018
5-Sep-12,30.39,95.75,3.414113607,4.561740628,0.00032911,-0.006973021
6-Sep-12,31.34,96.61,3.444895237,4.570682256,0.03078163,0.008941627
7-Sep-12,30.95,97.21,3.432372999,4.576873587,-0.012522238,0.006191331
10-Sep-12,30.72,94.68,3.424913908,4.550502785,-0.007459091,-0.026370802
11-Sep-12,30.79,94.37,3.427189962,4.547223226,0.002276054,-0.003279559
12-Sep-12,30.78,95.68,3.426865128,4.56100929,-0.000324834,0.013786064
13-Sep-12,30.94,97.57,3.432049845,4.580570069,0.005184717,0.019560779
14-Sep-12,31.21,98.75,3.440738556,4.592591404,0.008688711,0.012021335
17-Sep-12,31.21,99.97,3.440738556,4.604870141,0,0.012278737
18-Sep-12,31.18,100.27,3.439776864,4.607866548,-0.000961693,0.002996407
19-Sep-12,31.05,100.3,3.435598808,4.608165695,-0.004178055,0.000299147
20-Sep-12,31.45,99.81,3.448398983,4.603268379,0.012800175,-0.004897316
21-Sep-12,31.19,100.01,3.440097531,4.605270181,-0.008301453,0.002001802
24-Sep-12,30.78,98.68,3.426865128,4.591882292,-0.013232402,-0.013387889
25-Sep-12,30.39,96.22,3.414113607,4.566637236,-0.012751521,-0.025245055
26-Sep-12,30.16,95.03,3.406516543,4.554192631,-0.007597064,-0.012444605
27-Sep-12,30.16,97.33,3.406516543,4.578107266,0,0.023914635
28-Sep-12,29.76,95.3,3.39316521,4.557029811,-0.013351333,-0.021077456
1-Oct-12,29.49,94.2,3.384051223,4.545420182,-0.009113987,-0.011609629
2-Oct-12,29.66,94.47,3.389799337,4.548282324,0.005748114,0.002862142
3-Oct-12,29.86,95.92,3.396519792,4.563514511,0.006720455,0.015232187
4-Oct-12,30.03,95.26,3.402196882,4.556609995,0.00567709,-0.006904515
5-Oct-12,29.85,93.23,3.39618484,4.535069558,-0.006012042,-0.021540437
8-Oct-12,29.78,91.17,3.393837027,4.512725896,-0.002347813,-0.022343663
9-Oct-12,29.28,90.84,3.376904689,4.509099717,-0.016932338,-0.003626178
10-Oct-12,28.98,91.56,3.366605937,4.516994495,-0.010298752,0.007894778
11-Oct-12,28.95,89.7,3.365570204,4.496470769,-0.001035733,-0.020523726
12-Oct-12,29.2,89.96,3.374168709,4.499365127,0.008598505,0.002894358
15-Oct-12,29.51,90.68,3.384729189,4.507336826,0.01056048,0.007971699
16-Oct-12,29.49,92.83,3.384051223,4.530769863,-0.000677966,0.023433038
17-Oct-12,29.59,92.09,3.387436466,4.52276636,0.003385244,-0.008003504
18-Oct-12,29.5,90.38,3.384390263,4.504023004,-0.003046203,-0.018743356
19-Oct-12,28.64,87.12,3.354804342,4.467286479,-0.029585921,-0.036736525
22-Oct-12,28,90.58,3.33220451,4.506233438,-0.022599832,0.03894696
23-Oct-12,28.05,87.62,3.333988632,4.473009282,0.001784122,-0.033224156
24-Oct-12,27.9,88.12,3.328626689,4.478699522,-0.005361943,0.00569024
25-Oct-12,27.88,87.08,3.327909586,4.466827236,-0.000717103,-0.011872286
26-Oct-12,28.21,86.29,3.339676525,4.457713717,0.011766939,-0.00911352
31-Oct-12,28.54,85.05,3.351306612,4.443239319,0.011630087,-0.014474398
1-Nov-12,29.52,85.22,3.385068,4.445236148,0.033761388,0.001996829
2-Nov-12,29.5,82.4,3.384390263,4.411585437,-0.000677736,-0.033650711
5-Nov-12,29.63,83.52,3.388787362,4.425086124,0.004397098,0.013500687
6-Nov-12,29.86,83.26,3.396519792,4.421968242,0.007732431,-0.003117882
7-Nov-12,29.08,79.71,3.370050653,4.378395048,-0.026469139,-0.043573193
8-Nov-12,28.81,76.82,3.360722549,4.341465023,-0.009328104,-0.036930026
9-Nov-12,28.83,78.15,3.361416512,4.358630057,0.000693963,0.017165034
12-Nov-12,28.22,77.55,3.340030946,4.35092289,-0.021385565,-0.007707167
13-Nov-12,27.09,77.56,3.299164656,4.35105183,-0.04086629,0.000128941
14-Nov-12,26.84,76.7,3.289893312,4.339901708,-0.009271344,-0.011150122
15-Nov-12,26.66,75.09,3.283164315,4.318687394,-0.006728997,-0.021214314
16-Nov-12,26.52,75.38,3.277899165,4.322541988,-0.005265149,0.003854594
19-Nov-12,26.73,80.82,3.28578653,4.39222446,0.007887365,0.069682472
20-Nov-12,26.71,80.13,3.285038027,4.383650316,-0.000748503,-0.008574144
21-Nov-12,26.95,80.24,3.293983297,4.385022144,0.00894527,0.001371828
23-Nov-12,27.7,81.64,3.321432413,4.402319338,0.027449116,0.017297194
26-Nov-12,27.38,84.22,3.30981282,4.433432423,-0.011619593,0.031113085
27-Nov-12,27.08,83.54,3.298795448,4.425325559,-0.011017372,-0.008106864
28-Nov-12,27.36,83.28,3.309082093,4.422208424,0.010286645,-0.003117135
29-Nov-12,26.95,84.19,3.293983297,4.433076149,-0.015098795,0.010867725
30-Nov-12,26.62,83.61,3.281662813,4.42616313,-0.012320484,-0.006913019
3-Dec-12,26.43,83.74,3.274499729,4.427716761,-0.007163084,0.00155363
4-Dec-12,26.37,82.26,3.272227,4.409884963,-0.002272728,-0.017831798
5-Dec-12,26.67,76.97,3.283539338,4.343415736,0.011312338,-0.066469227
6-Dec-12,26.72,78.18,3.285412349,4.35901386,0.00187301,0.015598125
7-Dec-12,26.46,76.18,3.275634159,4.333098961,-0.00977819,-0.025914899
10-Dec-12,26.94,75.69,3.293612171,4.326646051,0.017978012,-0.00645291
11-Dec-12,27.32,77.34,3.307619035,4.348211286,0.014006864,0.021565235
12-Dec-12,27.24,77,3.304686481,4.343805422,-0.002932553,-0.004405864
13-Dec-12,27.11,75.67,3.299902664,4.326381781,-0.004783818,-0.017423641
14-Dec-12,26.81,72.83,3.288774952,4.288127958,-0.011127711,-0.038253822
17-Dec-12,27.1,74.12,3.299533728,4.305685401,0.010758776,0.017557443
18-Dec-12,27.56,76.27,3.316365446,4.334279676,0.016831718,0.028594275
19-Dec-12,27.31,75.19,3.307252935,4.320018243,-0.009112511,-0.014261433
20-Dec-12,27.68,74.53,3.320710131,4.311201729,0.013457195,-0.008816514
21-Dec-12,27.45,74.19,3.312366168,4.30662937,-0.008343963,-0.004572359
24-Dec-12,27.06,74.31,3.298056623,4.308245532,-0.014309545,0.001616162
26-Dec-12,26.86,73.29,3.290638191,4.294424174,-0.007418432,-0.013821358
27-Dec-12,26.96,73.58,3.294354286,4.29837325,0.003716095,0.003949076
28-Dec-12,26.55,72.8,3.279029748,4.287715955,-0.015324538,-0.010657294
31-Dec-12,26.71,76.02,3.285038027,4.330996464,0.006008279,0.043280508
2-Jan-13,27.62,78.43,3.318540148,4.362206507,0.033502121,0.031210044
3-Jan-13,27.25,77.44,3.305053521,4.349503443,-0.013486627,-0.012703064
4-Jan-13,26.74,75.29,3.286160572,4.321347324,-0.018892949,-0.028156119
